feature,importance
前120天平均每活跃日点击量,0.11275263959673536
前120天该资源类型点击量：quiz,0.07889548219337213
前120天该资源类型点击量：oucontent,0.07585779931505093
课程第91-120天点击量,0.05326871206134249
前120天该资源类型点击量：homepage,0.040261450053628876
前120天该资源类型点击量：forumng,0.0365176956370191
前120天平均每条点击日志点击量,0.03510116302690078
前120天该资源类型点击量：subpage,0.024081208276085616
课程第61-90天点击量,0.016737513396655093
前120天该资源类型点击量：resource,0.010412347003995324
前120天按权重折算的得分,0.0073603793519798014
地区贫困指数分位段,0.0033975042104447185
前120天最高分,0.0029651031170022314
前120天迟交次数,0.0021705416794801434
前120天平均分,0.002147107969607624
前120天已参与考核权重合计,0.0020031117538473913
前120天首次提交日期,0.0019356716096340415
前120天该考核类型平均分：TMA,0.0017535786044186345
前120天最后点击日期,0.0017426810662509037
前120天最后提交日期,0.0016701279446319469
