feature,importance
前120天平均每活跃日点击量,0.15840831
前120天该资源类型点击量：quiz,0.05780272
课程第91-120天点击量,0.054469485
前120天平均分,0.037290115
前120天该资源类型点击量：oucontent,0.02652926
前120天该资源类型点击量：resource,0.02626398
地区贫困指数分位段,0.025102971
前120天最高分,0.024563264
前120天该资源类型点击量：forumng,0.018548436
前120天该资源类型点击量：subpage,0.017038003
课程模块代码,0.01619922
前120天按权重折算的得分,0.015275191
注册日期，课程开始日为0,0.013939138
前120天该资源类型点击量：homepage,0.013720202
前120天平均每条点击日志点击量,0.011367781
前120天该考核类型平均分：TMA,0.010774106
课程第31-60天点击量,0.010318901
前120天迟交次数,0.010056561
前120天活跃天数,0.009855897
前120天最低分,0.009781279
