threshold,recall,precision,f1
0.05,1.0,0.5279,0.691
0.059,1.0,0.5279,0.691
0.068,0.9975,0.5434,0.7036
0.077,0.9935,0.5769,0.7299
0.086,0.9866,0.6067,0.7513
0.095,0.9815,0.6367,0.7723
0.105,0.9753,0.6576,0.7855
0.114,0.9699,0.6749,0.7959
0.123,0.9644,0.6943,0.8074
0.132,0.9586,0.7069,0.8138
0.141,0.9539,0.7236,0.8229
0.15,0.9488,0.7376,0.83
0.159,0.947,0.7474,0.8354
0.168,0.9433,0.7565,0.8396
0.177,0.9379,0.7664,0.8435
0.186,0.9353,0.7758,0.8482
0.195,0.9328,0.7829,0.8513
0.205,0.9303,0.7897,0.8542
0.214,0.9266,0.7984,0.8578
0.223,0.9237,0.8042,0.8598
0.232,0.9215,0.8087,0.8615
0.241,0.9183,0.8131,0.8625
0.25,0.9161,0.8183,0.8644
0.259,0.9132,0.8237,0.8661
0.268,0.9103,0.8298,0.8682
0.277,0.907,0.8332,0.8685
0.286,0.903,0.8359,0.8682
0.295,0.8997,0.8414,0.8696
0.305,0.8968,0.8438,0.8695
0.314,0.8925,0.8478,0.8696
0.323,0.8899,0.8498,0.8694
0.332,0.8878,0.8534,0.8702
0.341,0.8838,0.8552,0.8692
0.35,0.8816,0.8594,0.8704
0.359,0.879,0.8631,0.871
0.368,0.8772,0.8653,0.8712
0.377,0.874,0.8683,0.8711
0.386,0.8714,0.8698,0.8706
0.395,0.8689,0.8727,0.8708
0.405,0.8663,0.8759,0.8711
0.414,0.8638,0.8772,0.8704
0.423,0.8609,0.8801,0.8704
0.432,0.8594,0.8828,0.871
0.441,0.8562,0.8834,0.8696
0.45,0.8543,0.8855,0.8697
0.459,0.854,0.8899,0.8715
0.468,0.8518,0.8923,0.8716
0.477,0.85,0.8945,0.8717
0.486,0.8471,0.8969,0.8713
0.495,0.8456,0.8992,0.8716
0.505,0.8438,0.9,0.871
0.514,0.8427,0.901,0.8709
0.523,0.8409,0.9029,0.8708
0.532,0.8394,0.9049,0.8709
0.541,0.8376,0.9064,0.8707
0.55,0.8347,0.9072,0.8695
0.559,0.8325,0.9084,0.8688
0.568,0.83,0.9111,0.8687
0.577,0.8264,0.9126,0.8673
0.586,0.8231,0.9144,0.8664
0.595,0.8202,0.9171,0.866
0.605,0.818,0.9192,0.8657
0.614,0.8158,0.9205,0.865
0.623,0.8147,0.9227,0.8654
0.632,0.8118,0.9243,0.8644
0.641,0.8097,0.9264,0.8641
0.65,0.8068,0.9285,0.8634
0.659,0.806,0.9296,0.8634
0.668,0.8028,0.9309,0.8621
0.677,0.7999,0.9338,0.8617
0.686,0.7984,0.9361,0.8618
0.695,0.7948,0.9383,0.8606
0.705,0.7926,0.9405,0.8602
0.714,0.79,0.9416,0.8592
0.723,0.7875,0.9426,0.8581
0.732,0.7857,0.9441,0.8577
0.741,0.7835,0.9456,0.857
0.75,0.7802,0.9463,0.8553
0.759,0.7762,0.946,0.8528
0.768,0.7744,0.9484,0.8526
0.777,0.773,0.9504,0.8526
0.786,0.7712,0.952,0.8521
0.795,0.7693,0.9545,0.852
0.805,0.7679,0.9587,0.8528
0.814,0.7639,0.9603,0.8509
0.823,0.7599,0.9632,0.8495
0.832,0.757,0.9639,0.848
0.841,0.7548,0.9656,0.8473
0.85,0.749,0.9663,0.8439
0.859,0.7436,0.9678,0.841
0.868,0.7381,0.969,0.8379
0.877,0.7337,0.973,0.8366
0.886,0.7301,0.9748,0.8349
0.895,0.7225,0.9788,0.8313
0.905,0.7156,0.9816,0.8277
0.914,0.709,0.9844,0.8243
0.923,0.6974,0.9861,0.817
0.932,0.6898,0.9885,0.8126
0.941,0.6778,0.992,0.8054
0.95,0.6575,0.9945,0.7916
